intent,Q,A
질문.생일,{멤버} 언제 태어났어?,"{멤버} 생일은 {생일} 이야, {멤버}는 {생일}에 태어났어, {생일}이 {멤버} 생일이야 "
질문.생일,{멤버} 생일 언제야?,"{멤버} 생일은 {생일} 이야, {멤버}는 {생일}에 태어났어, {생일}이 {멤버} 생일이야 "
질문.생일,{멤버} 생일 좀 알려줘,{멤버}는 {나이} 생이야
질문.나이,{멤버} 나이가 어떻게 돼?,{멤버}는 {나이} 생이야
질문.나이,{멤버} 몇 살이야?,"{멤버}는 {태어난곳} 에서 태어났어, {태어난곳}이 {멤버}가 태어난 곳이야"
질문.태어난곳,{멤버} 어디서 태어났어?,"{멤버}는 {태어난곳} 에서 태어났어, {태어난곳}이 {멤버}가 태어난 곳이야"
질문.태어난곳,{멤버} 태어난 곳이 어디야?,"{멤버}는 {태어난곳} 에서 태어났어, {태어난곳}이 {멤버}가 태어난 곳이야"
질문.국적,{멤버} 국적이 어디야?,{멤버}는 {국적}사람이야
질문.국적,{멤버}는 어느나라 사람이야?,{멤버}는 {국적}사람이야
질문.본관,{멤버} 본관은 어디야?,{멤버}는 {본관}이야
질문.본관,{멤버} 본관 좀 알려줘,{멤버}는 {본관}이야
질문.본명,{멤버} 본명이 뭐야?,"{멤버}은(는) {본명}이라고 해, {본명}이야, {본명}!"
질문.본명,{멤버} 본명 알려줘,"{멤버}은(는) {본명}이라고 해, {본명}이야, {본명}!"
질문.본명,{멤버} 본명 알고싶어,"{멤버}은(는) {본명}이라고 해, {본명}이야, {본명}!"
질문.본명,{멤버} 본명 뭐임?,"{멤버}은(는) {본명}이라고 해, {본명}이야, {본명}!"
질문.키,{멤버} 키 얼마야?,"{멤버} 키는 {키}cm야, {멤버}은(는) {키}cm야, {키}cm임!"
질문.키,{멤버} 키 알려줘,"{멤버} 키는 {키}cm야, {멤버}은(는) {키}cm야, {키}cm임!"
질문.키,{멤버} 키 알고싶어,"{멤버} 키는 {키}cm야, {멤버}은(는) {키}cm야, {키}cm임!"
질문.키,{멤버} 키 몇임?,"{멤버} 키는 {키}cm야, {멤버}은(는) {키}cm야, {키}cm임!"
질문.몸무게,{멤버} 몸무게 얼마야?,"{멤버} 몸무게는 {몸무게}kg야, {멤버}는 {몸무게}kg이야, {몸무게}kg임!"
